longitude,latitude,dem
238012.30175002094,551466.8052219786,91.27559661865233
237878.00129414318,548982.3511107564,96.5482940673828
237685.3253934355,545416.7083154013,51.25455093383789
237674.14030058548,545209.6713154893,48.958282470703125
237449.25487021718,541045.9347496564,16.81786346435547
237320.08999164688,538653.5180322705,16.29390525817871
237187.2381191512,536192.0942486105,16.54066276550293
237056.90784774156,533776.6832719631,19.450933456420895
237050.70259316498,533661.6638223836,19.24267578125
236890.6368568528,530694.1658183495,45.66201019287109
236841.01573980285,529774.0128828203,33.726043701171875
236826.13048216683,529497.9671391929,35.544734954833984
236793.88079683686,528899.8682449721,34.47701644897461
237961.869012819,550039.1022951696,106.5477828979492
237950.6788365404,549832.0644758316,106.6032028198242
237881.05733283775,548543.8299537161,91.64013671875
237800.26018730446,547048.559465385,76.95183563232422
237774.15960128122,546565.472472949,89.48275756835938
237674.74270230043,544725.1428455217,48.72597885131836
237658.58953716134,544426.0895462744,39.368690490722656
237606.40636508918,543459.9178554863,17.57887077331543
237360.48182402557,538905.11888278,16.039337158203125
237321.99071824754,538191.9953490077,17.38279914855957
237101.0414112715,534097.2941922992,26.704559326171875
236960.8325612414,531497.8562955996,41.065135955810554
236856.63507442374,529565.5344135221,35.57012939453125
238145.2153208221,552936.1943999501,69.17806243896484
238004.7020241278,550336.7155624498,104.51192474365234
237959.94594701228,549508.5641887672,102.78376770019533
237625.6597241356,543320.4510880802,17.538984298706055
237505.17895969853,541089.0574993445,16.701208114624023
237425.70424421492,539616.8000733694,16.540000915527344
237279.20974398818,536902.3301584376,15.712746620178223
237263.07345480943,536603.2787620202,16.810407638549805
236926.82663227082,530369.2242451049,44.50858688354492
236908.22258717916,530024.1668192372,47.77947235107422
236899.5409653269,529863.1400543274,40.708206176757805
238021.42579372128,550151.2405752437,106.86625671386717
237852.39165745303,547022.6717861984,76.18616485595702
237746.77763439063,545067.3204144677,43.2557029724121
237631.2519565152,542927.9396051234,17.960420608520508
237618.8316137091,542697.8988839369,16.988069534301754
237556.73506526498,541547.6959364694,16.0025634765625
237500.85553383222,540512.514222133,16.568496704101562
237412.7042381586,538879.2293253243,16.319047927856445
237382.9105454493,538327.133522748,17.90728759765625
237057.79191052914,532300.104132738,36.83855819702149
237001.97475191794,531264.9303634632,42.82497787475586
236918.8821551876,529723.6732888948,35.98944091796875
236895.3214035408,529286.6007461594,36.5016975402832
238125.16866846572,551576.0615962297,88.95573425292967
237898.9598954738,547389.2967819925,66.8526382446289
237840.56185197103,546308.1016366268,83.35919189453125
237443.16027150495,538946.7987648472,15.78700828552246
237384.8216199341,537865.6111926157,15.93460178375244
238200.31393566643,552471.7866632538,74.98164367675781
238190.36824280955,552287.7525795614,75.83248901367188
237869.73760025462,546352.6684388798,80.71219635009764
237351.99329611822,536759.9779533036,17.140064239501953
237307.3240360471,535931.8355935775,16.31393814086914
237142.33468750742,532872.314591568,23.001396179199215
236977.40636060445,529812.8013633993,33.73208999633789
238173.5210248372,551481.1631032769,89.43801879882812
238005.75399604076,548375.5938593755,87.74392700195312
237752.35828349495,543682.7488486515,17.684837341308594
237512.75791907858,539242.9662265601,16.55500030517578
237420.92444754363,537540.6704935608,17.36298942565918
237320.4256589827,535677.3495440474,16.49101448059082
237154.21806746285,532594.8249209933,38.298789978027344
236996.75013238192,529673.3349886062,36.42184448242188
238140.53204331902,550375.5191066284,102.4662399291992
238102.01126796595,549662.3882471994,105.03963470458984
238074.67594740153,549156.2956351656,98.97418975830078
237899.5209032842,545912.7071217755,91.86940765380861
237877.16560638446,545498.6326207891,62.50212860107422
