,rmse,time-linalgsolve,rmse_lsa,time-lsa,nn,len-train,len-train-lsa,dataset
0,4.196539395336473,0.09864189801737666,4.245325661548624,0.12683179904706776,4,646,689,dem2180-duplicated-coords
1,4.406447046522757,0.0988247029017657,4.384780556671037,0.13253488088957965,8,653,689,dem2180-duplicated-coords
2,4.548951467213098,0.10065693699289113,4.550577148959207,0.15037004800979048,16,653,689,dem2180-duplicated-coords
3,4.7028525314645435,0.11381757399067283,4.702832262575695,0.19811034202575684,32,655,689,dem2180-duplicated-coords
4,4.715868415271288,0.14032119000330567,4.716304766793871,0.3908864969853312,64,665,689,dem2180-duplicated-coords
5,23.018278811490774,0.21511606394778937,21.063286144391466,1.0570959750330076,128,648,689,dem2180-duplicated-coords
6,312.41860932301194,0.506328123039566,782.7612531276983,3.4642198520014063,256,658,689,dem2180-duplicated-coords
7,388.5533699973533,1.7998320840997621,786.896005320444,14.75098805502057,512,650,689,dem2180-duplicated-coords
8,4.12595238318325,0.10084382595960051,4.145490332820381,0.12373988004401326,4,655,689,dem2180-duplicated-coords
9,4.609697779563114,0.0962596460012719,4.594393314564689,0.12840047595091164,8,656,689,dem2180-duplicated-coords
10,4.822832185165862,0.10060892801266164,4.8331237428445855,0.1426562750712037,16,650,689,dem2180-duplicated-coords
11,4.595522373479523,0.11260956700425595,4.596213668536004,0.19096233299933374,32,651,689,dem2180-duplicated-coords
12,4.793158610144134,0.13861615397036076,4.7924196575045706,0.37855636794120073,64,642,689,dem2180-duplicated-coords
13,10.93713399844061,0.21014576591551304,54.7911624776861,1.0837433059932664,128,651,689,dem2180-duplicated-coords
14,642.5925543299169,0.5069717919686809,128.4110698147874,3.4928612749790773,256,661,689,dem2180-duplicated-coords
15,531.397327565046,2.439913869020529,1080.8738081157314,17.395053075044416,512,657,689,dem2180-duplicated-coords
16,5.096727760553058,0.10755550698377192,5.106942260158747,0.13473310798872262,4,647,689,dem2180-duplicated-coords
17,4.920141617127099,0.10802498599514365,4.889471385018865,0.1384192779660225,8,657,689,dem2180-duplicated-coords
18,4.935019408488717,0.11124641599599272,4.930699815072929,0.17393813806120306,16,659,689,dem2180-duplicated-coords
19,4.353797358845734,0.11975720804184675,4.350690194018053,0.2069791000103578,32,657,689,dem2180-duplicated-coords
20,5.28981367352121,0.13694801798556,5.290109064716992,0.39703317591920495,64,658,689,dem2180-duplicated-coords
21,8.730364009704845,0.20867307798471302,5.217486525823373,1.0656362229492515,128,655,689,dem2180-duplicated-coords
22,338.99133529822325,0.49973209493327886,204.91395329218997,4.074928267044015,256,654,689,dem2180-duplicated-coords
23,371.2754408884041,2.2212579830083996,1137.528795896724,15.684834511950612,512,653,689,dem2180-duplicated-coords
24,4.803486212266852,0.10865450301207602,4.853056603429744,0.14067464403342456,4,655,689,dem2180-duplicated-coords
25,4.424369211836166,0.10340108897071332,4.422670451071108,0.13569767598528415,8,659,689,dem2180-duplicated-coords
26,4.791837105109017,0.10091206303332001,4.78760668471121,0.14241313398815691,16,653,689,dem2180-duplicated-coords
27,4.786034023326751,0.11337389098480344,4.791928749499911,0.18779343098867685,32,648,689,dem2180-duplicated-coords
28,4.624211852800991,0.14013490790966898,4.623204319960515,0.3846215670928359,64,658,689,dem2180-duplicated-coords
29,83.22138047417353,0.22873683809302747,32.654148434977266,1.0868657371029258,128,655,689,dem2180-duplicated-coords
30,134.03104375610118,0.5172799390275031,899.2804498441224,3.6946676209336147,256,655,689,dem2180-duplicated-coords
31,1677.6927792341903,2.0185898599447682,712.453325398584,16.81505014898721,512,653,689,dem2180-duplicated-coords
32,4.717875900597654,0.10447595792356879,4.823398361276287,0.13939845899585634,4,654,689,dem2180-duplicated-coords
33,4.581056732384618,0.10303840402048081,4.569608363594438,0.1316496580839157,8,653,689,dem2180-duplicated-coords
34,4.376120448458703,0.09909446898382157,4.385389889735423,0.14150151098147035,16,664,689,dem2180-duplicated-coords
35,5.027008680746721,0.11449320008978248,5.030137844138105,0.18699764006305486,32,661,689,dem2180-duplicated-coords
36,4.145156917348837,0.13603509997483343,4.14625041171182,0.3630949850194156,64,648,689,dem2180-duplicated-coords
37,24.470559478673913,0.20539312600158155,20.257231056867315,1.0468763780081645,128,657,689,dem2180-duplicated-coords
38,653.8250280982849,0.49844131304416806,869.9286388083381,3.488009396009147,256,648,689,dem2180-duplicated-coords
39,1023.0835178369808,1.961713140946813,768.3453705787364,15.590026402962394,512,654,689,dem2180-duplicated-coords
40,5.716067923791119,0.10432541102636606,5.723974215622088,0.1349529620492831,4,660,689,dem2180-duplicated-coords
41,4.389912194452649,0.09950222901534289,4.414936945606464,0.13263525790534914,8,651,689,dem2180-duplicated-coords
42,4.61195617267584,0.10762168292421848,4.616649789943526,0.15860523702576756,16,656,689,dem2180-duplicated-coords
43,4.630865838981279,0.12182952300645411,4.638360337425746,0.20670760096982121,32,659,689,dem2180-duplicated-coords
44,4.2917419416259195,0.148454567999579,4.297838470851204,0.4180494169704616,64,654,689,dem2180-duplicated-coords
45,9.53825821918893,0.21598365297541022,11.211885783012406,1.0707518900744617,128,660,689,dem2180-duplicated-coords
46,336.25559630965734,0.4979294629301876,256.05124130288027,3.558620310970582,256,655,689,dem2180-duplicated-coords
47,5761.373234217591,2.143872090964578,1349.2087244426366,17.643450035946444,512,651,689,dem2180-duplicated-coords
48,5.73245090680521,0.10744523291941732,5.777752626887685,0.15356083202641457,4,643,689,dem2180-duplicated-coords
49,4.851959825360671,0.11259162798523903,4.8333537863203295,0.13807697396259755,8,659,689,dem2180-duplicated-coords
50,4.766626417656403,0.10923917300533503,4.768825190077887,0.15602286998182535,16,663,689,dem2180-duplicated-coords
51,4.965358302075544,0.11919440107885748,4.966520149742274,0.19344044500030577,32,660,689,dem2180-duplicated-coords
52,4.9984477845564275,0.206423808936961,4.998454567865845,0.38228190201334655,64,657,689,dem2180-duplicated-coords
53,17.056372617854652,0.33406885899603367,4.794202923973329,1.2329166289418936,128,662,689,dem2180-duplicated-coords
54,282.08476364952946,0.5201835340121761,219.40406563126618,3.613321627024561,256,656,689,dem2180-duplicated-coords
55,550.4593892648384,2.324880387983285,617.0249951335572,15.922101540025324,512,660,689,dem2180-duplicated-coords
56,4.561253978710204,0.10560394602362067,4.5806116696842505,0.1361218710662797,4,667,689,dem2180-duplicated-coords
57,4.4757907962996,0.10136831493582577,4.557522211865107,0.13426067400723696,8,647,689,dem2180-duplicated-coords
58,5.260717173056855,0.09837998007424176,5.253161399157896,0.15724876802414656,16,652,689,dem2180-duplicated-coords
59,5.147995198414946,0.11555296089500189,5.14744126966365,0.1951884189620614,32,660,689,dem2180-duplicated-coords
60,4.767859912798849,0.1385288160527125,4.7688495842150385,0.3840993749909103,64,654,689,dem2180-duplicated-coords
61,29.779619581977272,0.21330497704911977,20.85605330569089,1.1739640510641038,128,651,689,dem2180-duplicated-coords
62,363.90406538986576,0.7687454029219225,2319.9208513373446,3.674234358011745,256,653,689,dem2180-duplicated-coords
63,275.5858100208252,2.4296984949614853,4376.058678056895,16.453282002010383,512,656,689,dem2180-duplicated-coords
64,5.703376127836066,0.11240378301590681,5.74768631492089,0.16280528309289366,4,646,689,dem2180-duplicated-coords
65,4.602199436108558,0.10175693896599114,4.634276452349762,0.13190558494534343,8,652,689,dem2180-duplicated-coords
66,4.166636399228663,0.1011491019744426,4.172733107570092,0.15824921906460077,16,646,689,dem2180-duplicated-coords
67,5.096953281786096,0.12302409100811929,5.105040031054064,0.2532969299936667,32,644,689,dem2180-duplicated-coords
