,rmse,time-linalgsolve,rmse_lsa,time-lsa,nn,dataset
0,0.7472424862980166,0.018660800997167826,0.7472424862980166,0.022679816000163555,4,meuse
1,0.5851426708278717,0.019338842001161538,0.5851426708278705,0.02914578199852258,8,meuse
2,0.6550500566974222,0.016812235990073532,0.6550500566974204,0.024158383996109478,16,meuse
3,0.6874844850083061,0.01808013499248773,0.6874844850083086,0.025353660006658174,32,meuse
4,0.6300972380936734,0.01667253799678292,0.6300972380936732,0.027855032996740192,64,meuse
5,0.7545151691985832,0.016124151996336877,0.7545151691985824,0.02149776299484074,4,meuse
6,0.7198324671281342,0.016690428004949354,0.719832467128133,0.022362843999871984,8,meuse
7,0.6585433847439475,0.01735853801073972,0.6585433847439472,0.026862246988457628,16,meuse
8,0.6421903011578309,0.016995885001961142,0.6421903011578307,0.024959841000963934,32,meuse
9,0.698349535636483,0.01741338700230699,0.6983495356364842,0.024753525998676196,64,meuse
10,0.6725326884608391,0.01651162200141698,0.6725326884608388,0.023907396011054516,4,meuse
11,0.7742297535152272,0.016738923004595563,0.7742297535152267,0.022300782991806045,8,meuse
12,0.7123839436438232,0.017134777997853234,0.712383943643825,0.024287101012305357,16,meuse
13,0.7388774384804224,0.01735180598916486,0.7388774384804248,0.025532682993798517,32,meuse
14,0.6517340724559554,0.017486003998783417,0.6517340724559506,0.0266336150089046,64,meuse
15,0.8002911590367124,0.016811003006296232,0.8002911590367114,0.021748127997852862,4,meuse
16,0.7076231282021254,0.018532800997490995,0.7076231282021245,0.022590302003663965,8,meuse
17,0.6696156298719291,0.01724662398919463,0.6696156298719291,0.02677614901040215,16,meuse
18,0.6813081054795476,0.016691881988663226,0.6813081054795512,0.025155187991913408,32,meuse
19,0.5777395443877397,0.017586408008355647,0.5777395443877396,0.024034558999119326,64,meuse
20,0.7957459461912378,0.017016491008689627,0.795745946191238,0.02307988199754618,4,meuse
21,0.6635788367892682,0.02245801201206632,0.6635788367892684,0.02992134800297208,8,meuse
22,0.6611565881679113,0.017596521007362753,0.6611565881679079,0.027055220998590812,16,meuse
23,0.5870241585772576,0.01785271300468594,0.587024158577258,0.02573963499162346,32,meuse
24,0.5953400633606872,0.016595380002399907,0.5953400633606883,0.024907115002861246,64,meuse
25,0.6864355477142693,0.018547902000136673,0.6864355477142693,0.02289014898997266,4,meuse
26,0.7838464520134508,0.016664809998474084,0.7838464520134512,0.023299159001908265,8,meuse
27,0.6391673402671153,0.01742063299752772,0.6391673402671137,0.02542478500981815,16,meuse
28,0.6553074920635541,0.018324081000173464,0.65530749206356,0.025746339990291744,32,meuse
29,0.6590165303120089,0.017402362995198928,0.6590165303120084,0.024364747005165555,64,meuse
30,0.7031805002970323,0.016160819999640808,0.7031805002970327,0.02201989700552076,4,meuse
31,0.5520644242750816,0.01817189800203778,0.5520644242750814,0.02306325000245124,8,meuse
32,0.6947024260595737,0.017563414003234357,0.6947024260595726,0.025777501999982633,16,meuse
33,0.6830168310789102,0.017470581995439716,0.6830168310789101,0.024794092008960433,32,meuse
34,0.6851534199509884,0.01883976100361906,0.6851534199509884,0.025491088003036566,64,meuse
35,0.6326859147214562,0.016913700994336978,0.6326859147214564,0.02255793899530545,4,meuse
36,0.7135735785558973,0.016858231989317574,0.7135735785558974,0.022454028992797248,8,meuse
37,0.6976383629975295,0.018938063003588468,0.6976383629975313,0.0266579239978455,16,meuse
38,0.6485333969851075,0.01726700400467962,0.6485333969851097,0.025933195996913128,32,meuse
