,rmse,time-linalgsolve,rmse_lsa,time-lsa,nn,dataset
0,4.542368980249611,0.024085924960672855,4.542368980249606,0.030442871968261898,4,dem2180
1,4.518797096350917,0.02337783796247095,4.518797096350919,0.03192349593155086,8,dem2180
2,5.163855362119986,0.024276993004605174,5.163855362119987,0.03380882099736482,16,dem2180
3,5.259920207653474,0.028030065004713833,5.25992020765348,0.04392955603543669,32,dem2180
4,4.847664942529893,0.032388881081715226,4.84766494252993,0.08649294800125062,64,dem2180
5,8.234136166022582,0.050775320967659354,8.234136166029922,0.23739196208771318,128,dem2180
6,96.31358465450765,0.11301647196523845,96.3135846544959,0.736748588969931,256,dem2180
7,383.83568350424446,0.3800851410487667,383.8356835018134,2.9554951870813966,512,dem2180
8,4.501785349191072,0.02527650003321469,4.501785349191077,0.03231015207711607,4,dem2180
9,5.017002883688272,0.024270410067401826,5.01700288368829,0.02972303901333362,8,dem2180
10,4.13704392789512,0.02614397299475968,4.137043927895126,0.03269225195981562,16,dem2180
11,4.96012951171386,0.027465805993415415,4.960129511713912,0.04328054003417492,32,dem2180
12,3.4490731471561102,0.13266742206178606,3.4490731471560894,0.1219490539515391,64,dem2180
13,7.9381622838147265,0.055550024029798806,7.93816228381506,0.2728299319278449,128,dem2180
14,1082.0584637697252,0.1582153319614008,1082.0584638434054,0.7900863029062748,256,dem2180
15,225.34992128042194,0.39241164503619075,225.34992127828,3.056802226928994,512,dem2180
16,4.942383879192961,0.02552445197943598,4.94238387919297,0.035183354979380965,4,dem2180
17,3.7587394780452916,0.023683496983721852,3.7587394780452645,0.02915733610279858,8,dem2180
18,4.604930655531095,0.02538206393364817,4.604930655531082,0.03269978298339993,16,dem2180
19,4.446646204697987,0.02706794999539852,4.446646204697987,0.042859083972871304,32,dem2180
20,3.801444997564381,0.033240729942917824,3.8014449975643876,0.08489688008558005,64,dem2180
21,6.048232375840329,0.05314840597566217,6.04823237583999,0.27044356404803693,128,dem2180
22,344.12121863488545,0.11198930500540882,344.1212186698154,0.7424092319561169,256,dem2180
23,407.25917218290675,0.3945864049019292,407.2591720449468,3.1637217679526657,512,dem2180
24,3.935902831048535,0.026999618974514306,3.935902831048529,0.0343522570328787,4,dem2180
25,3.461762419890429,0.026989978970959783,3.461762419890431,0.03236752899829298,8,dem2180
26,2.9875350017254507,0.02540440601296723,2.9875350017254547,0.034508907003328204,16,dem2180
27,4.313105716607036,0.03049005998764187,4.313105716607038,0.04325758502818644,32,dem2180
28,5.26309923534704,0.03417311096563935,5.263099235346971,0.08820089290384203,64,dem2180
29,5.569715055686422,0.05497772106900811,5.569715055687794,0.2416103760479018,128,dem2180
30,89.48739262810864,0.11200292897410691,89.48739262836209,0.7801398220472038,256,dem2180
31,1730.0018104654148,0.39400031801778823,1730.0018107408207,3.281296695000492,512,dem2180
32,4.681184451832596,0.02609889698214829,4.681184451832602,0.03252572496421635,4,dem2180
33,4.737197922439641,0.027992578921839595,4.737197922439635,0.03663953300565481,8,dem2180
34,3.653546932356153,0.02506507793441415,3.6535469323561625,0.036228792974725366,16,dem2180
35,3.9263649572432695,0.027862692018970847,3.9263649572433326,0.05072481499519199,32,dem2180
36,5.019051242556958,0.03387100505642593,5.019051242557047,0.09380109189078212,64,dem2180
37,4.271119477822362,0.052578426082618535,4.271119477822533,0.27454909100197256,128,dem2180
38,709.6699523410982,0.1427697699982673,709.669952382606,0.8256941649597138,256,dem2180
39,609.2330206132374,0.4012743039056659,609.2330205133082,3.322576438076794,512,dem2180
40,3.561884841960424,0.026949331047944725,3.5618848419604325,0.03048475191462785,4,dem2180
41,4.591219966814373,0.02479739300906658,4.591219966814375,0.02963302400894463,8,dem2180
42,4.789183349105555,0.025483511039055884,4.7891833491055715,0.03433475794736296,16,dem2180
43,5.401970504040693,0.028093958972021937,5.401970504040701,0.049293381976895034,32,dem2180
44,5.570503261187365,0.03424971899949014,5.570503261187456,0.09456238802522421,64,dem2180
45,8.405478800676882,0.05206486699171364,8.405478800677441,0.251684915041551,128,dem2180
46,1085.270267692974,0.12296931201126426,1085.2702677172776,0.8927118089050055,256,dem2180
47,346.75813114105813,0.42656834493391216,346.7581310990549,3.507259826059453,512,dem2180
48,4.110103442836114,0.025049732998013496,4.110103442836113,0.030229044961743057,4,dem2180
49,4.514387129508067,0.025576203013770282,4.514387129508062,0.0329122559633106,8,dem2180
50,4.611833349471473,0.025577290914952755,4.611833349471455,0.033228107960894704,16,dem2180
51,4.476714416079992,0.02851869398728013,4.476714416079979,0.04956644703634083,32,dem2180
52,4.549768299127296,0.035308713908307254,4.549768299127192,0.09595265798270702,64,dem2180
53,7.913504904519461,0.050714059034362435,7.913504904518175,0.2604164440417662,128,dem2180
54,214.4004420551947,0.11340857099276036,214.40044205241713,0.8384615980321541,256,dem2180
55,260.82509582193774,0.4323466649511829,260.8250957985319,3.7860639330465347,512,dem2180
56,4.852700737662731,0.02467209310270846,4.852700737662713,0.031471544061787426,4,dem2180
57,5.130560125050904,0.02352822304237634,5.130560125050896,0.03005915496032685,8,dem2180
58,4.194981937991842,0.025570781086571515,4.194981937991841,0.03440342494286597,16,dem2180
59,5.753567675784784,0.027802689000964165,5.753567675784775,0.050854886998422444,32,dem2180
60,6.545406866188604,0.0326492830645293,6.545406866188466,0.10413762100506574,64,dem2180
61,35.8283332745915,0.06758562696631998,35.82833327477339,0.2860000239452347,128,dem2180
62,268.73365234843817,0.12031791498884559,268.7336523520427,0.8409561750013381,256,dem2180
63,572.185703128096,0.4334542249562219,572.1857031037088,3.3916488379472867,512,dem2180
64,3.1755962260989437,0.02724223304539919,3.175596226098956,0.03437130805104971,4,dem2180
65,4.202528783256789,0.027716879034414887,4.20252878325679,0.033550497028045356,8,dem2180
66,4.34801750670715,0.027653763070702553,4.348017506707157,0.03628962300717831,16,dem2180
67,4.142860409817217,0.029880572925321758,4.142860409817161,0.0481260969536379,32,dem2180
68,4.588771872913304,0.038314227014780045,4.588771872913386,0.09875907597597688,64,dem2180
69,6.821343000997483,0.058709338889457285,6.821343000990438,0.25983034807723016,128,dem2180
70,160.26864408605772,0.10968883405439556,160.2686440876934,0.8291432879632339,256,dem2180
71,216.68011281455705,0.41724486206658185,216.68011281968091,3.4826030160766095,512,dem2180
72,4.437127136062607,0.0303217729087919,4.437127136062618,0.038297688006423414,4,dem2180
73,4.7836215594870515,0.03089206397999078,4.783621559487043,0.03849426400847733,8,dem2180
74,4.356768221832881,0.031173871946521103,4.356768221832874,0.044988502049818635,16,dem2180
75,4.561343570052988,0.05066299403551966,4.561343570053031,0.07776391203515232,32,dem2180
76,3.203350620952453,0.07100471900776029,3.2033506209523357,0.16789280204102397,64,dem2180
77,19.66381330288621,0.10412471799645573,19.663813302809658,0.467390434932895,128,dem2180
78,803.1662854336165,0.17986558098345995,803.1662858387194,1.4418518969323486,256,dem2180
79,390.6759467726467,0.5950414979597554,390.67594682917,5.8707504430785775,512,dem2180
80,5.0220451610485055,0.03050559398252517,5.02204516104851,0.03839887701906264,4,dem2180
81,3.918117827678689,0.03017502010334283,3.918117827678685,0.03864609298761934,8,dem2180
82,3.7716418255330515,0.030934739974327385,3.771641825533049,0.04214720206800848,16,dem2180
83,3.7243032779357725,0.04560557403601706,3.72430327793573,0.05833830696064979,32,dem2180
84,4.766356825235505,0.059244000003673136,4.766356825235431,0.14259285107254982,64,dem2180
85,21.385168232189017,0.08383852592669427,21.385168229273493,0.40896113007329404,128,dem2180
86,111.19485558954575,0.181446413975209,111.19485558891377,1.5358000150881708,256,dem2180
87,983.5619057493915,0.5527386280009523,983.5619059123313,6.1881359399994835,512,dem2180
88,4.6612203767665195,0.03168021806050092,4.661220376766534,0.03825750993564725,4,dem2180
89,4.963881859706188,0.03176457202062011,4.963881859706186,0.0397649189690128,8,dem2180
90,4.883862785463067,0.03184551594313234,4.8838627854630605,0.04212499305140227,16,dem2180
91,5.174571466459681,0.04443579295184463,5.1745714664596765,0.06531681190244853,32,dem2180
92,4.262034825491023,0.042424652026966214,4.26203482549111,0.11533898999914527,64,dem2180
93,4.575335608849081,0.08075810398440808,4.575335608847389,0.4208217259729281,128,dem2180
94,162.54134880626836,0.13866278599016368,162.5413488057287,1.4855247039813548,256,dem2180
95,783.3783356639791,0.5481799580156803,783.3783349024882,6.377778617083095,512,dem2180
96,4.698415706959976,0.031054049031808972,4.698415706959962,0.037241491954773664,4,dem2180
97,3.721772614644035,0.029841444920748472,3.721772614644038,0.03803060401696712,8,dem2180
98,4.037472430082171,0.03039425704628229,4.037472430082177,0.040839815977960825,16,dem2180
99,4.764124262180929,0.04521401901729405,4.764124262180921,0.0580629090545699,32,dem2180
100,4.674444856733461,0.05599025799892843,4.674444856733512,0.1349628979805857,64,dem2180
101,6.3520798037626305,0.09872278908733279,6.352079803773675,0.45046938699670136,128,dem2180
102,253.7969916175765,0.17440701997838914,253.79699160092406,1.4298510620137677,256,dem2180
103,141.02610879312834,0.6368179429555312,141.02610878257974,5.976696500903927,512,dem2180
104,4.485157053488767,0.03083733597304672,4.48515705348876,0.039803172927349806,4,dem2180
105,3.905521699780986,0.029189534951001406,3.905521699780988,0.03685844806022942,8,dem2180
106,3.2860598479562246,0.03227466798853129,3.2860598479562158,0.04391799692530185,16,dem2180
